Job Title,Company Name,Job Description,Location,Job Type,Salary Range,Experience Level,Skills Required,Industry,Posted Date,Employment Mode
Data Scientist,"Edwards, Rios and Foster","We are seeking a senior level Data Scientist to join our team at Edwards, Rios and Foster.
As part of the finance industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like React, Security, and contributing to scalable software architecture.","Thomasberg, Egypt",Part-time,$66k - $126k,Senior,"React, Security, AWS, Machine Learning, SQL, NoSQL",Finance,4/14/2025,Hybrid
Systems Analyst,"Baker, Richards and Hurst","We are seeking a senior level Systems Analyst to join our team at Baker, Richards and Hurst.
As part of the manufacturing industry, you'll be working on innovative solutions in a on-site setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Data Analysis, Node.js, and contributing to scalable software architecture.","Coxberg, Madagascar",Full-time,$79k - $91k,Senior,"Data Analysis, Node.js, Docker, AWS, React",Manufacturing,4/7/2025,On-site
AI/ML Engineer,Campos Inc,"We are seeking a senior level AI/ML Engineer to join our team at Campos Inc.
As part of the telecommunications industry, you'll be working on innovative solutions in a on-site setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Machine Learning, AWS, and contributing to scalable software architecture.","Lake Ernest, Pitcairn Islands",Contract,$73k - $139k,Senior,"Machine Learning, AWS, React",Telecommunications,3/31/2025,On-site
Product Manager,"Brown, James and Ferrell","We are seeking a senior level Product Manager to join our team at Brown, James and Ferrell.
As part of the technology industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like CI/CD, Python, and contributing to scalable software architecture.","Tashatown, Pitcairn Islands",Temporary,$69k - $106k,Senior,"CI/CD, Python, JavaScript, Kubernetes, Security",Technology,3/2/2025,Hybrid
Software Engineer,"Dyer, Potter and Mack","We are seeking a senior level Software Engineer to join our team at Dyer, Potter and Mack.
As part of the technology industry, you'll be working on innovative solutions in a on-site setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like React, Docker, and contributing to scalable software architecture.","Danielchester, Cayman Islands",Part-time,$60k - $107k,Senior,"React, Docker, TypeScript, Data Analysis, SQL, NoSQL",Technology,4/4/2025,On-site
Cloud Architect,Mckay Ltd,"We are seeking a mid level Cloud Architect to join our team at Mckay Ltd.
As part of the finance industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Machine Learning, Security, and contributing to scalable software architecture.","Teresaburgh, Macedonia",Temporary,$73k - $119k,Mid,"Machine Learning, Security, Data Analysis, Scrum",Finance,3/1/2025,Hybrid
Business Analyst,"Evans, Fowler and Lynch","We are seeking a mid level Business Analyst to join our team at Evans, Fowler and Lynch.
As part of the technology industry, you'll be working on innovative solutions in a on-site setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like React, Data Analysis, and contributing to scalable software architecture.","West Kathryn, Mauritania",Temporary,$85k - $105k,Mid,"React, Data Analysis, Python, Machine Learning",Technology,4/11/2025,On-site
Cybersecurity Analyst,George Group,"We are seeking a entry level Cybersecurity Analyst to join our team at George Group.
As part of the technology industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like SQL, React, and contributing to scalable software architecture.","North Sarahport, Dominican Republic",Part-time,$52k - $146k,Entry,"SQL, React, Scrum",Technology,2/24/2025,Hybrid
Backend Developer,Humphrey Inc,"We are seeking a senior level Backend Developer to join our team at Humphrey Inc.
As part of the finance industry, you'll be working on innovative solutions in a remote setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like AWS, Docker, and contributing to scalable software architecture.","Lake Toddland, Senegal",Full-time,$65k - $141k,Senior,"AWS, Docker, UI Design, Machine Learning, Agile, SQL",Finance,4/11/2025,Remote
UI/UX Designer,Anderson Group,"We are seeking a entry level UI/UX Designer to join our team at Anderson Group.
As part of the technology industry, you'll be working on innovative solutions in a on-site setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like UI Design, Agile, and contributing to scalable software architecture.","West Allison, Netherlands",Internship,$56k - $94k,Entry,"UI Design, Agile, AWS, SQL, TypeScript, Python",Technology,4/1/2025,On-site
Full Stack Developer,Hickman Ltd,"We are seeking a entry level Full Stack Developer to join our team at Hickman Ltd.
As part of the finance industry, you'll be working on innovative solutions in a on-site setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Scrum, Docker, and contributing to scalable software architecture.","Lake Larry, Paraguay",Contract,$67k - $120k,Entry,"Scrum, Docker, AWS, React",Finance,3/27/2025,On-site
DevOps Engineer,Lam-Hayes,"We are seeking a mid level DevOps Engineer to join our team at Lam-Hayes.
As part of the telecommunications industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like JavaScript, Python, and contributing to scalable software architecture.","East Caleb, Angola",Full-time,$65k - $101k,Mid,"JavaScript, Python, TypeScript",Telecommunications,4/17/2025,Hybrid
Full Stack Developer,"Hall, Robinson and Jones","We are seeking a mid level Full Stack Developer to join our team at Hall, Robinson and Jones.
As part of the finance industry, you'll be working on innovative solutions in a remote setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Kubernetes, Security, and contributing to scalable software architecture.","East Carloston, Tokelau",Internship,$74k - $107k,Mid,"Kubernetes, Security, Python",Finance,3/23/2025,Remote
Business Analyst,Palmer LLC,"We are seeking a mid level Business Analyst to join our team at Palmer LLC.
As part of the retail industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Docker, AWS, and contributing to scalable software architecture.","Lewisberg, Saint Kitts and Nevis",Internship,$84k - $94k,Mid,"Docker, AWS, TypeScript, Node.js, Python, Machine Learning",Retail,4/15/2025,Hybrid
AI/ML Engineer,"Kennedy, Mueller and Aguirre","We are seeking a entry level AI/ML Engineer to join our team at Kennedy, Mueller and Aguirre.
As part of the technology industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like TypeScript, Kubernetes, and contributing to scalable software architecture.","North Collin, Jersey",Contract,$54k - $129k,Entry,"TypeScript, Kubernetes, Python, NoSQL, JavaScript, React",Technology,3/25/2025,Hybrid
Data Scientist,Jenkins-Shields,"We are seeking a mid level Data Scientist to join our team at Jenkins-Shields.
As part of the technology industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like JavaScript, React, and contributing to scalable software architecture.","Lake Deniseville, Bahamas",Part-time,$87k - $127k,Mid,"JavaScript, React, AWS, Data Analysis",Technology,3/30/2025,Hybrid
Cloud Architect,"Morgan, Hensley and Wright","We are seeking a mid level Cloud Architect to join our team at Morgan, Hensley and Wright.
As part of the finance industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like SQL, NoSQL, and contributing to scalable software architecture.","New Shane, Jamaica",Contract,$69k - $120k,Mid,"SQL, NoSQL, AWS, React, Data Analysis",Finance,3/8/2025,Hybrid
Backend Developer,Ford-Baxter,"We are seeking a entry level Backend Developer to join our team at Ford-Baxter.
As part of the retail industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like React, AWS, and contributing to scalable software architecture.","South Lindseyside, Bolivia",Full-time,$66k - $99k,Entry,"React, AWS, NoSQL",Retail,2/23/2025,Hybrid
Business Analyst,"Kidd, Huff and Novak","We are seeking a entry level Business Analyst to join our team at Kidd, Huff and Novak.
As part of the finance industry, you'll be working on innovative solutions in a remote setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Kubernetes, Scrum, and contributing to scalable software architecture.","East Richard, Liberia",Contract,$69k - $130k,Entry,"Kubernetes, Scrum, Agile, NoSQL, UI Design",Finance,3/11/2025,Remote
QA Engineer,Barrera-Martin,"We are seeking a entry level QA Engineer to join our team at Barrera-Martin.
As part of the manufacturing industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Node.js, Docker, and contributing to scalable software architecture.","South Josephmouth, France",Temporary,$85k - $100k,Entry,"Node.js, Docker, CI/CD, JavaScript, Agile",Manufacturing,4/1/2025,Hybrid
Frontend Developer,"Bernard, Cowan and Peters","We are seeking a senior level Frontend Developer to join our team at Bernard, Cowan and Peters.
As part of the finance industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like AWS, NoSQL, and contributing to scalable software architecture.","Mooreport, Cuba",Contract,$53k - $96k,Senior,"AWS, NoSQL, CI/CD, SQL, Docker",Finance,2/24/2025,Hybrid
Mobile App Developer,"Fitzgerald, Brown and Edwards","We are seeking a mid level Mobile App Developer to join our team at Fitzgerald, Brown and Edwards.
As part of the technology industry, you'll be working on innovative solutions in a on-site setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Docker, NoSQL, and contributing to scalable software architecture.","New Thomashaven, Cayman Islands",Internship,$85k - $136k,Mid,"Docker, NoSQL, React, UI Design, SQL",Technology,2/24/2025,On-site
Full Stack Developer,"Miller, Lopez and Larson","We are seeking a entry level Full Stack Developer to join our team at Miller, Lopez and Larson.
As part of the technology industry, you'll be working on innovative solutions in a on-site setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like JavaScript, UI Design, and contributing to scalable software architecture.","South David, Tuvalu",Temporary,$59k - $118k,Entry,"JavaScript, UI Design, Machine Learning, NoSQL",Technology,4/15/2025,On-site
Product Manager,Riley Inc,"We are seeking a mid level Product Manager to join our team at Riley Inc.
As part of the healthcare industry, you'll be working on innovative solutions in a on-site setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like AWS, SQL, and contributing to scalable software architecture.","South Dianeshire, Maldives",Full-time,$85k - $147k,Mid,"AWS, SQL, Data Analysis, JavaScript, Kubernetes",Healthcare,3/21/2025,On-site
Systems Analyst,Harris-Moran,"We are seeking a senior level Systems Analyst to join our team at Harris-Moran.
As part of the manufacturing industry, you'll be working on innovative solutions in a on-site setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Kubernetes, TypeScript, and contributing to scalable software architecture.","West Randy, Paraguay",Internship,$51k - $102k,Senior,"Kubernetes, TypeScript, Scrum, AWS",Manufacturing,3/20/2025,On-site
AI/ML Engineer,Stewart-Walton,"We are seeking a mid level AI/ML Engineer to join our team at Stewart-Walton.
As part of the telecommunications industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like NoSQL, Kubernetes, and contributing to scalable software architecture.","North Stephenshire, Bolivia",Contract,$56k - $115k,Mid,"NoSQL, Kubernetes, Security, UI Design",Telecommunications,2/26/2025,Hybrid
Systems Analyst,"Lewis, Baker and Mahoney","We are seeking a mid level Systems Analyst to join our team at Lewis, Baker and Mahoney.
As part of the finance industry, you'll be working on innovative solutions in a on-site setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like UI Design, Machine Learning, and contributing to scalable software architecture.","East Mikeburgh, Kazakhstan",Full-time,$51k - $133k,Mid,"UI Design, Machine Learning, Agile, Security, Node.js, Scrum",Finance,4/12/2025,On-site
DevOps Engineer,"Turner, Riggs and Roman","We are seeking a mid level DevOps Engineer to join our team at Turner, Riggs and Roman.
As part of the healthcare industry, you'll be working on innovative solutions in a on-site setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like UI Design, Security, and contributing to scalable software architecture.","Lake Lisaport, Venezuela",Internship,$71k - $92k,Mid,"UI Design, Security, Data Analysis, Agile, NoSQL",Healthcare,3/1/2025,On-site
Data Scientist,Baker Inc,"We are seeking a entry level Data Scientist to join our team at Baker Inc.
As part of the education industry, you'll be working on innovative solutions in a remote setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Node.js, Agile, and contributing to scalable software architecture.","West Juan, Cote d'Ivoire",Contract,$70k - $118k,Entry,"Node.js, Agile, Kubernetes",Education,3/24/2025,Remote
Cybersecurity Analyst,Watts LLC,"We are seeking a entry level Cybersecurity Analyst to join our team at Watts LLC.
As part of the retail industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like NoSQL, JavaScript, and contributing to scalable software architecture.","Kington, Bermuda",Temporary,$50k - $124k,Entry,"NoSQL, JavaScript, UI Design, AWS",Retail,4/1/2025,Hybrid
Business Analyst,Williams-Cook,"We are seeking a senior level Business Analyst to join our team at Williams-Cook.
As part of the manufacturing industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like UI Design, Agile, and contributing to scalable software architecture.","Lake Tina, Central African Republic",Temporary,$71k - $130k,Senior,"UI Design, Agile, JavaScript, Data Analysis",Manufacturing,4/2/2025,Hybrid
Backend Developer,"Thornton, Hoffman and Rodriguez","We are seeking a senior level Backend Developer to join our team at Thornton, Hoffman and Rodriguez.
As part of the healthcare industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Agile, Data Analysis, and contributing to scalable software architecture.","New Barry, Heard Island and McDonald Islands",Full-time,$85k - $99k,Senior,"Agile, Data Analysis, AWS, UI Design, Docker",Healthcare,4/16/2025,Hybrid
DevOps Engineer,"Hernandez, Anderson and Parker","We are seeking a senior level DevOps Engineer to join our team at Hernandez, Anderson and Parker.
As part of the retail industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Machine Learning, Security, and contributing to scalable software architecture.","West Jasonbury, Papua New Guinea",Internship,$50k - $110k,Senior,"Machine Learning, Security, NoSQL, Agile",Retail,2/28/2025,Hybrid
Frontend Developer,Deleon-Henson,"We are seeking a mid level Frontend Developer to join our team at Deleon-Henson.
As part of the telecommunications industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Scrum, TypeScript, and contributing to scalable software architecture.","Dicksonberg, Uzbekistan",Part-time,$82k - $121k,Mid,"Scrum, TypeScript, SQL, Data Analysis, Node.js",Telecommunications,3/13/2025,Hybrid
QA Engineer,Cherry and Sons,"We are seeking a senior level QA Engineer to join our team at Cherry and Sons.
As part of the technology industry, you'll be working on innovative solutions in a remote setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like React, SQL, and contributing to scalable software architecture.","Johnsonmouth, Slovenia",Part-time,$62k - $100k,Senior,"React, SQL, Data Analysis, Docker, Node.js",Technology,3/30/2025,Remote
Software Engineer,"Shields, Cochran and Adams","We are seeking a entry level Software Engineer to join our team at Shields, Cochran and Adams.
As part of the retail industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Scrum, Agile, and contributing to scalable software architecture.","South Monicafort, Cyprus",Full-time,$90k - $127k,Entry,"Scrum, Agile, TypeScript",Retail,3/10/2025,Hybrid
DevOps Engineer,Bailey-Hoover,"We are seeking a mid level DevOps Engineer to join our team at Bailey-Hoover.
As part of the retail industry, you'll be working on innovative solutions in a on-site setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Python, Node.js, and contributing to scalable software architecture.","East Andrew, Congo",Internship,$64k - $102k,Mid,"Python, Node.js, Security, AWS",Retail,3/29/2025,On-site
QA Engineer,Ramirez-Jones,"We are seeking a mid level QA Engineer to join our team at Ramirez-Jones.
As part of the technology industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Node.js, Scrum, and contributing to scalable software architecture.","Michaelhaven, Iran",Temporary,$79k - $133k,Mid,"Node.js, Scrum, React, Security",Technology,4/12/2025,Hybrid
Cloud Architect,Crosby-Wilson,"We are seeking a senior level Cloud Architect to join our team at Crosby-Wilson.
As part of the healthcare industry, you'll be working on innovative solutions in a remote setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Scrum, Kubernetes, and contributing to scalable software architecture.","Gregoryview, Argentina",Temporary,$66k - $139k,Senior,"Scrum, Kubernetes, UI Design, Agile, SQL, Security",Healthcare,3/1/2025,Remote
DevOps Engineer,"Hamilton, Chandler and Edwards","We are seeking a senior level DevOps Engineer to join our team at Hamilton, Chandler and Edwards.
As part of the retail industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like NoSQL, Scrum, and contributing to scalable software architecture.","South Rachelborough, Equatorial Guinea",Contract,$68k - $106k,Senior,"NoSQL, Scrum, JavaScript, UI Design",Retail,2/23/2025,Hybrid
Frontend Developer,"Graham, Meyer and Drake","We are seeking a mid level Frontend Developer to join our team at Graham, Meyer and Drake.
As part of the education industry, you'll be working on innovative solutions in a on-site setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Docker, SQL, and contributing to scalable software architecture.","West Ryan, Yemen",Contract,$59k - $136k,Mid,"Docker, SQL, AWS, UI Design",Education,3/23/2025,On-site
DevOps Engineer,"Edwards, Charles and Cortez","We are seeking a mid level DevOps Engineer to join our team at Edwards, Charles and Cortez.
As part of the retail industry, you'll be working on innovative solutions in a remote setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Agile, JavaScript, and contributing to scalable software architecture.","Williamchester, Greece",Full-time,$87k - $135k,Mid,"Agile, JavaScript, Node.js, TypeScript, AWS, Security",Retail,3/30/2025,Remote
Software Engineer,"Phillips, Martinez and Fisher","We are seeking a mid level Software Engineer to join our team at Phillips, Martinez and Fisher.
As part of the retail industry, you'll be working on innovative solutions in a on-site setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Machine Learning, Security, and contributing to scalable software architecture.","Byrdburgh, New Zealand",Temporary,$84k - $138k,Mid,"Machine Learning, Security, Agile, Scrum, AWS",Retail,4/15/2025,On-site
AI/ML Engineer,Sullivan-Bass,"We are seeking a senior level AI/ML Engineer to join our team at Sullivan-Bass.
As part of the finance industry, you'll be working on innovative solutions in a remote setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like NoSQL, Agile, and contributing to scalable software architecture.","Justinchester, Solomon Islands",Temporary,$74k - $112k,Senior,"NoSQL, Agile, SQL, Python",Finance,4/16/2025,Remote
Mobile App Developer,"Pena, Marshall and Ramos","We are seeking a senior level Mobile App Developer to join our team at Pena, Marshall and Ramos.
As part of the finance industry, you'll be working on innovative solutions in a remote setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Python, Security, and contributing to scalable software architecture.","New Thomas, United Arab Emirates",Internship,$51k - $96k,Senior,"Python, Security, Machine Learning, Scrum",Finance,3/7/2025,Remote
Mobile App Developer,"Miller, Robertson and Schultz","We are seeking a entry level Mobile App Developer to join our team at Miller, Robertson and Schultz.
As part of the telecommunications industry, you'll be working on innovative solutions in a remote setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like JavaScript, NoSQL, and contributing to scalable software architecture.","Clarencebury, Peru",Internship,$63k - $120k,Entry,"JavaScript, NoSQL, AWS, Kubernetes",Telecommunications,3/21/2025,Remote
Backend Developer,Drake and Sons,"We are seeking a mid level Backend Developer to join our team at Drake and Sons.
As part of the healthcare industry, you'll be working on innovative solutions in a remote setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like React, CI/CD, and contributing to scalable software architecture.","North Johnfort, New Caledonia",Contract,$53k - $113k,Mid,"React, CI/CD, Python, UI Design, NoSQL",Healthcare,2/26/2025,Remote
DevOps Engineer,Perry-Soto,"We are seeking a senior level DevOps Engineer to join our team at Perry-Soto.
As part of the technology industry, you'll be working on innovative solutions in a on-site setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like AWS, Python, and contributing to scalable software architecture.","Lake Heather, Lithuania",Full-time,$65k - $99k,Senior,"AWS, Python, Machine Learning, React",Technology,3/29/2025,On-site
UI/UX Designer,Hernandez Ltd,"We are seeking a senior level UI/UX Designer to join our team at Hernandez Ltd.
As part of the finance industry, you'll be working on innovative solutions in a remote setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like UI Design, Kubernetes, and contributing to scalable software architecture.","Port Michelleville, Slovakia (Slovak Republic)",Full-time,$57k - $140k,Senior,"UI Design, Kubernetes, Machine Learning, Scrum, TypeScript",Finance,4/1/2025,Remote
Systems Analyst,Thompson Ltd,"We are seeking a mid level Systems Analyst to join our team at Thompson Ltd.
As part of the technology industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Machine Learning, Security, and contributing to scalable software architecture.","Williamsbury, United States Virgin Islands",Part-time,$62k - $95k,Mid,"Machine Learning, Security, AWS",Technology,3/2/2025,Hybrid
Cybersecurity Analyst,Anderson-Marshall,"We are seeking a entry level Cybersecurity Analyst to join our team at Anderson-Marshall.
As part of the manufacturing industry, you'll be working on innovative solutions in a remote setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like JavaScript, UI Design, and contributing to scalable software architecture.","Stephaniemouth, New Caledonia",Part-time,$77k - $133k,Entry,"JavaScript, UI Design, NoSQL",Manufacturing,4/9/2025,Remote
Backend Developer,Rivas-Kelley,"We are seeking a senior level Backend Developer to join our team at Rivas-Kelley.
As part of the manufacturing industry, you'll be working on innovative solutions in a remote setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Agile, CI/CD, and contributing to scalable software architecture.","Lake Michelle, Korea",Full-time,$77k - $114k,Senior,"Agile, CI/CD, JavaScript",Manufacturing,3/16/2025,Remote
Mobile App Developer,Larsen LLC,"We are seeking a senior level Mobile App Developer to join our team at Larsen LLC.
As part of the finance industry, you'll be working on innovative solutions in a remote setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like TypeScript, NoSQL, and contributing to scalable software architecture.","Simsview, Kazakhstan",Internship,$84k - $140k,Senior,"TypeScript, NoSQL, Machine Learning, Security",Finance,2/26/2025,Remote
UI/UX Designer,"Mitchell, Nelson and Flores","We are seeking a mid level UI/UX Designer to join our team at Mitchell, Nelson and Flores.
As part of the telecommunications industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Data Analysis, SQL, and contributing to scalable software architecture.","East Edwardfurt, Puerto Rico",Internship,$78k - $106k,Mid,"Data Analysis, SQL, Agile, JavaScript, Docker",Telecommunications,3/5/2025,Hybrid
QA Engineer,"Lewis, Perry and Rivera","We are seeking a senior level QA Engineer to join our team at Lewis, Perry and Rivera.
As part of the education industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Data Analysis, Python, and contributing to scalable software architecture.","Perryborough, Syrian Arab Republic",Internship,$81k - $104k,Senior,"Data Analysis, Python, SQL, Agile, Kubernetes, React",Education,3/31/2025,Hybrid
Backend Developer,Stein-Silva,"We are seeking a mid level Backend Developer to join our team at Stein-Silva.
As part of the healthcare industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Python, AWS, and contributing to scalable software architecture.","Port Nicoleshire, Hong Kong",Contract,$76k - $122k,Mid,"Python, AWS, JavaScript, Node.js, UI Design",Healthcare,4/6/2025,Hybrid
Cloud Architect,Bender LLC,"We are seeking a senior level Cloud Architect to join our team at Bender LLC.
As part of the retail industry, you'll be working on innovative solutions in a hybrid setup.
Responsibilities include collaborating with cross-functional teams, developing features using technologies like Scrum, Python, and contributing to scalable software architecture.","Castanedachester, Martinique",Part-time,$65k - $110k,Senior,"Scrum, Python, JavaScript, Docker, Node.js, AWS",Retail,4/13/2025,Hybrid
